category,title,author,tenlong,books
Python,深入淺出Python,Paul Barry 著、蔣大偉 譯,616,702
Python,Python機器學習,Sebastian Raschka 著，劉立民、吳建華 譯,452,458
Python,EffectivePython中文版寫出良好Python程式的59個具體做法,Brett Slatkin 著、黃銘偉 譯,356,356
Python,精通Python運用簡單的套件進行現代運算,Bill Lubanovic 著、賴屹民 譯,616,616
Python,網站擷取使用Python,Ryan Mitchell 著，Studio Tib 譯,458,458
Python,初探機器學習使用Python,Matthew Kirk 著；陳仁和  譯,379,379
Python,黑帽Python給駭客與滲透測試者的Python開發指南,Justin Seitz 著、Studio Tib. 譯,316,316
Python,高效能Python程式設計,"Micha Gorelick, Ian Ozsvald 著、楊仁和 譯",612,646
Python,Python程式設計實務從初學到活用Python開發技巧的16堂課,何敏煌,437,442
Python,高效率資料分析使用Python,Clinton W. Brownley 著、賴屹民 譯,458,458
Python,Python設計模式深入解析,Sakis Kasampalis 著、江良志 譯,281,284
Python,流暢的Python清晰簡潔有效的程式設計,Luciano Ramalho 著、賴屹民 譯,774,774
Python,測試驅動開發使用Python,Harry J.W. Percival 著、賴屹民 譯,695,695
Python,用Python開發經典遊戲,"Alejandro Rodas de Paz , Joseph Howse 著、朱宗安 譯",328,332
Python,Python自動化的樂趣搞定重複瑣碎單調無聊的工作,Al Sweigart 著、H&C 譯,395,395
Python,Python35技術手冊,林信良,411,411
Python,Python網路爬蟲實戰,胡松濤,372,387
Python,資料視覺化使用Python與JavaScript,Kyran Dale 著、林季岩 譯,537,537
Python,資料結構使用Python,蔡明志,411,411
Python,Python程式設計入門,葉難,484,490
Python,Python專家實踐指南搭乘專業開發者的學習便車,"Kenneth Reitz, Tanya Schlusser 著、楊尊一 譯",458,458
Python,精通機器學習使用Python,"Sarah Guido, Andreas C. Mueller 著、李宜修 譯",537,537
Python,Python程式設計「超入門」,鎌田正浩 著、陳禹豪、林子政 譯,332,332
Python,利用Python進行數據分析,麥金尼 (Wes McKinney),507,465
Python,Python程式設計入門指南,Y. Daniel Liang 著、蔡明志 譯,411,411
Python,Python函式庫語法範例字典,"池内孝啓, 鈴木たかのり, 石本敦夫, 小坂健二郎, 真嘉比愛   著、林子政 譯",383,356
Python,DeepLearning用Python進行深度學習的基礎理論實作,斎藤康毅 著、吳嘉芳 譯,458,458
Python,Python計算機視覺編程,索利姆 (Jan Erik Solem),393,360
Python,不止是測試Python網路爬蟲王者Selenium,蟲師,442,442
Python,量化投資以Python為工具,蔡立耑,564,594
Python,Python網絡爬蟲實戰,胡松濤,273,308
Python,Python自然語言處理,"伯德 (Steven Bird), 克萊恩 (Ewan Klein), 洛佩爾 (Edward Loper)",507,465
Python,用Python寫網絡爬蟲,[澳]理乍得 勞森,257,235
Python,實用Python程式設計,郭英勝/鄭志宏/龔志銘/謝哲光,266,333
Python,Python也可以這樣學,董付國 著、廖信彥 審校,452,458
Python,Python爬蟲開發與項目實戰,範傳輝,450,412
Python,科學運算Python程式理論與應用,楊珮璐、宋強 著、胡嘉璽 審閱.,679,679
Python,Python金融實戰,嚴玉星,450,374
Python,Python數據挖掘入門與實踐,羅伯特·萊頓 (Robert Layton),336,308
Python,Python架站特訓班Django最強實戰,鄧文淵 總監製/文淵閣工作室 編著,356,356
Python,今天不學機器學習，明天就被機器取代從Python入手演算法,鄭捷,466,466
Python,Python輕鬆學遊戲設計初體驗,Craig Richardson著 、顧思&#14871;譯／博碩文化 審校,328,332
Python,Python程式設計實例入門,李馨,281,324
Python,PythonxArduino物聯網整合開發實戰,Pratik Desai 著、CAVEDU團隊 曾吉弘 譯,387,387
Python,圖解資料結構使用Python,吳燦銘,390,395
C,深入淺出C,"David Griffiths, Dawn Griffiths 著、楊仁和 譯",695,695
C,精通C,Jon Skeet 著、張簡才祿 譯,379,379
C,C編程規範,"Herb Sutter, Andrei Alexandrescu 著、侯捷、陳碩 譯",458,522
C,C精要,釵N松,379,432
C,透視C語言指標深度探索記憶體管理核心技術,Richard Reese 著、莊弘祥 譯,379,379
C,萬無一失的程式碼終結CC軟體漏洞,Robert C. Seacord 著、賈蓉生、蔡旻嶧 譯,562,569
C,C沉思錄,"Andrew Koenig, Barbara E. Moo 著、黃曉春 譯、孟岩、陳錦輝 審校",406,411
C,大型C軟體設計,John Lakos 著、陳逸宏 譯,774,774
C,精通CC指標深入系統底層技術,蔡明志,537,537
C,C並行程式設計實戰手冊,Anthony Williams 著、莊弘祥 譯,537,537
Java,Java效能優化指南,"Charlie Hunt, Binu John 著、陳逸嘉 譯",537,612
Java,Java8Lambdas技術手冊,Richard Warburton 著、林信良 譯,379,379
Java,Java程式設計師面試寶典,Noel Markham 著、林耕溥 譯,356,356
Java,JAVASE8基礎必修課,蔡文龍、張志成/編著、吳明哲、何嘉益/策劃,419,504
Java,Java網路程式設計,湯秉翰,452,458
Java,Java加密與解密的藝術,梁棟,379,360
Java,精通Java網路程式,汪曉平、俞俊、李功、邱煌森,563,594
C++,深入淺出C,"David Griffiths, Dawn Griffiths 著、楊仁和 譯",695,695
C++,精通C,Jon Skeet 著、張簡才祿 譯,379,379
C++,C編程規範,"Herb Sutter, Andrei Alexandrescu 著、侯捷、陳碩 譯",458,522
C++,C精要,釵N松,379,432
C++,透視C語言指標深度探索記憶體管理核心技術,Richard Reese 著、莊弘祥 譯,379,379
C++,萬無一失的程式碼終結CC軟體漏洞,Robert C. Seacord 著、賈蓉生、蔡旻嶧 譯,562,569
C++,C沉思錄,"Andrew Koenig, Barbara E. Moo 著、黃曉春 譯、孟岩、陳錦輝 審校",406,411
C++,大型C軟體設計,John Lakos 著、陳逸宏 譯,774,774
C++,精通CC指標深入系統底層技術,蔡明志,537,537
C++,C並行程式設計實戰手冊,Anthony Williams 著、莊弘祥 譯,537,537
C#,深入淺出C,"David Griffiths, Dawn Griffiths 著、楊仁和 譯",695,695
C#,精通C,Jon Skeet 著、張簡才祿 譯,379,379
C#,C編程規範,"Herb Sutter, Andrei Alexandrescu 著、侯捷、陳碩 譯",458,522
C#,C精要,釵N松,379,432
C#,透視C語言指標深度探索記憶體管理核心技術,Richard Reese 著、莊弘祥 譯,379,379
C#,萬無一失的程式碼終結CC軟體漏洞,Robert C. Seacord 著、賈蓉生、蔡旻嶧 譯,562,569
C#,C沉思錄,"Andrew Koenig, Barbara E. Moo 著、黃曉春 譯、孟岩、陳錦輝 審校",406,411
C#,大型C軟體設計,John Lakos 著、陳逸宏 譯,774,774
C#,精通CC指標深入系統底層技術,蔡明志,537,537
